lesson_number,hanzi,pinyin,translation,proficiency
1,你,nǐ,"you, second person pronoun",0
1,好,hǎo,"good, excellent, fine; well",0
1,请,qǐng,"ask, request; invite; please",0
1,问,wèn,"ask about, inquire after",0
1,贵,guì,"expensive, costly, valuable",0
1,姓,xìng,"one's family name; clan, people",0
1,我,wǒ,"our, us, i, me, my, we",0
1,呢,ne,interrogative or emphatic final; (Cant.) this,0
1,小姐,xiǎojie,"young lady, miss, (slang) prostitute",0
1,叫,jiào,"cry, shout; hail, greet, call",0
1,什么,shénme,"what?, who?, something, anything",0
1,名字,míngzi,name (of a person or thing),0
1,先生,xiānsheng,"teacher, husband, doctor (dialect); Mister (Mr.)",0
1,李,lǐ,plum; judge; surname,0
1,王,wáng,"king, ruler; royal; surname",0
1,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",0
1,老师,lǎoshī,teacher,0
1,吗,ma,final interrogative particle,0
1,不,bù,"no, not; un-; negative prefix",0
1,学生,xuésheng,"student, schoolchild",0
1,也,yě,also; classical final particle of strong affirmation or identity,0
1,人,rén,man; people; mankind; someone else,0
1,中国,zhōngguó,China,0
1,北京,běijīng,"Beijing, capital of People's Republic of China, Peking, PRC government",0
1,美国,měiguó,"United States, USA, US",0
1,纽约,niǔyuē,New York,0
2,哥哥,gēge,older brother,0
2,两,liǎng,"two, both, pair, couple; ounce",0
2,妹妹,mèimei,"younger sister, young woman",0
2,和,hé,"and, together with; harmony, peace",0
2,大姐,dàjiě,"big sister, elder sister, older sister (also polite term of address for a girl or woman slightly older than the speaker)",0
2,做,zuò,"work, make; act",0
2,工作,gōngzuò,"to work, (of a machine) to operate, job, work, task",0
2,律师,lǜshī,lawyer,0
2,英文,yīngwén,English (language) (…wen),0
2,都,"dōu, dū","metropolis, capital; all, the whole; elegant, refined",0
2,大学生,dàxuéshēng,"university student, college student",0
2,大学,dàxué,"university, college; the Great Learning, one of the Four Books 四书 in Confucianism",0
2,医生,yīshēng,doctor,0
2,那,nà,"that, that one, those",0
2,的,de,"possessive, adjectival suffix",0
2,照片,zhàopiàn,"photograph, picture",0
2,这,zhè,"this, the, here",0
2,爸爸,bàba,(informal) father,0
2,妈妈,māma,"mama, mommy, mother",0
2,个,gè,"numerary adjunct, piece; single",0
2,女,nǚ,"woman, girl; feminine; rad. 38",0
2,孩子,háizi,child (…zi),0
2,谁,shéi,who? whom? whose? anyone?,0
2,她,tā,"she, her",0
2,姐姐,jiějie,older sister,0
2,男,nán,"male, man; son; baron; surname",0
2,弟弟,dìdi,younger brother,0
2,他,tā,"other, another; he, she, it",0
2,大哥,dàgē,"eldest brother, big brother (polite address for a man of about the same age as oneself), gang leader, boss",0
2,儿子,érzi,son,0
2,有,yǒu,"have, own, possess; exist",0
2,女儿,nǚ'ér,daughter,0
2,没,méi,"not, have not, none; drown, sink",0
2,高,gāo,"high, tall; lofty, elevated",0
2,家,jiā,"house, home, residence; family",0
2,几,jǐ,small table,0
2,口,kǒu,"mouth; open end; entrance, gate",0
3,九月,jiǔyuè,"September, ninth month (of the lunar year)",0
3,月,yuè,moon; month; KangXi radical 74,0
3,十二,shí'èr,"twelve, 12",0
3,号,hào,"mark, sign; symbol; number",0
3,星期,xīngqī,"week, day of the week, Sunday",0
3,星期四,xīngqīsì,Thursday,0
3,天,tiān,"sky, heaven; god, celestial",0
3,生日,shēngrì,birthday,0
3,生,shēng,"life, living, lifetime; birth",0
3,日,rì,sun; day; daytime,0
3,今年,jīnnián,this year,0
3,年,nián,year; new-years; person's age,0
3,多,duō,"much, many; more than, over",0
3,大,dà,"big, great, vast, large, high",0
3,十八,shíbā,"eighteen, 18",0
3,岁,suì,year; age; harvest,0
3,吃,chī,"eat; drink; suffer, endure, bear",0
3,饭,fàn,"cooked rice; food, meal",0
3,怎么样,zěnmeyàng,"how?, how about?, how was it?, how are things?",0
3,谢谢,xièxie,"to thank, thanks, thank you",0
3,喜欢,xǐhuan,"to like, to be fond of",0
3,菜,cài,"vegetables; dish, order; food",0
3,还是,háishi,"or, still, nevertheless, had better",0
3,可是,kěshì,"but, however, (used for emphasis) indeed",0
3,我们,wǒmen,"we, us, ourselves, our",0
3,点,diǎn,"dot, speck, spot; point, degree",0
3,半,bàn,half,0
3,晚上,wǎnshang,"evening, night, in the evening",0
3,见,jiàn,"see, observe, behold; perceive",0
3,再见,zàijiàn,"goodbye, see you again later",0
3,再,zài,"again, twice, re-",0
3,英国,yīngguó,"United Kingdom 联合王国, United Kingdom of Great Britain and Northern Ireland, abbr. for England 英格兰",0
3,现在,xiànzài,"now, at present, at the moment, modern, current, nowadays",0
3,刻,kè,"carve, engrave; quarter hour",0
3,事,shì,"affair, matter, business; to serve; accident, incident",0
3,今天,jīntiān,"today, at the present, now",0
3,很,hěn,"very, quite, much",0
3,忙,máng,"busy, pressed for time; hustling",0
3,明天,míngtiān,tomorrow,0
3,晚饭,wǎnfàn,"evening meal, dinner, supper",0
3,为什么,wèishénme,"why?, for what reason?",0
3,为,wèi,"do, handle, govern, act; be",0
3,因为,yīnwèi,"because, owing to, on account of",0
3,还,hái,"still, yet, also, besides",0
3,同学,tóngxué,"to study at the same school, fellow student, classmate",0
3,认识,rènshi,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition",0
3,朋友,péngyou,friend,0
4,觉,jué,to wake up from sleep; conscious,0
4,算了,suànle,"let it be, let it pass, forget about it",0
4,找,zhǎo,"search, seek, look for; find",0
4,别人,biéren,"other people, others, other person",0
4,别,bié,"separate, other; do not",0
4,周末,zhōumò,weekend,0
4,打球,dǎqiú,"to play ball, to play with a ball",0
4,打,dǎ,"strike, hit, beat; fight; attack",0
4,球,qiú,"ball, sphere, globe; round",0
4,看,kàn,"look, see; examine, scrutinize",0
4,电视,diànshì,"television, TV",0
4,电,diàn,electricity; electric; lightning,0
4,视,shì,"look at, inspect, observe, see",0
4,唱歌,chànggē,to sing a song,0
4,唱,chàng,"sing, chant, call; ditty, song",0
4,歌,gē,"song, lyrics; sing, chant; praise",0
4,跳舞,tiàowǔ,to dance,0
4,跳,tiào,"jump, leap, vault, bounce; dance",0
4,舞,wǔ,"dance, posture, prance; brandish",0
4,听,tīng,"hear; understand; obey, comply",0
4,音乐,yīnyuè,music,0
4,书,shū,"book, letter, document; writings",0
4,对,duì,"correct, right; facing, opposed",0
4,有的,yǒude,"(there are) some (who are...), some (exist)",0
4,时候,shíhou,"time, length of time, moment, period",0
4,电影,diànyǐng,"movie, film",0
4,影,yǐng,"shadow; image, reflection; photograph",0
4,常常,chángcháng,"frequently, usually, often",0
4,去,qù,"go away, leave, depart",0
4,外国,wàiguó,foreign (country),0
4,请客,qǐngkè,"to give a dinner party, to entertain guests, to invite to dinner",0
4,昨天,zuótiān,yesterday,0
4,所以,suǒyǐ,"therefore, as a result, so, the reason why",0
4,小,xiǎo,"small, tiny, insignificant",0
4,好久,hǎojiǔ,quite a while,0
4,久,jiǔ,"long time (ago); time passage, grow late",0
